# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415323597;4140908;259978648;98.43;278032;237463092;90498640;33.07;147513160;102852660
axle;60;1415323657;1112244;263007312;99.58;278044;239891960;91130344;33.30;148690620;104696736
axle;60;1415323717;1337520;262782036;99.49;278184;240033492;90679324;33.13;156591044;96571180
axle;60;1415323777;602232;263517324;99.77;278048;239703068;91696320;33.50;157509040;96382672
axle;60;1415323837;526676;263592880;99.80;277644;240132032;91379000;33.39;157717168;96261772
axle;60;1415323897;2787072;261332484;98.94;277712;238866252;90450072;33.05;157713944;94006316
axle;60;1415323957;2611904;261507652;99.01;277896;239072800;90460688;33.05;157830144;94065232
axle;60;1415324017;2570760;261548796;99.03;278088;239235580;90324040;33.00;157875636;94073676
axle;60;1415324077;2820084;261299472;98.93;278132;239054788;90273024;32.98;158373236;93318352
axle;60;1415324137;2600236;261519320;99.02;278324;239258124;90308512;33.00;158547956;93350364
axle;60;1415324197;2345048;261774508;99.11;278472;239443552;90468520;33.06;159208516;92961748
axle;60;1415324257;2052960;262066596;99.22;278664;239646844;90547764;33.08;159671636;92782376
axle;60;1415324317;886408;263233148;99.66;278812;239797552;91484296;33.43;160898128;92730828
