Linux 3.11.0-17-generic (axle) 	07/11/14 	_x86_64_	(64 CPU)

01:12:45        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:13:45        all      8.56      0.00      0.95      1.98      0.00     88.51
01:14:45        all      7.80      0.00      0.76      0.57      0.00     90.87
01:15:45        all      4.12      0.00      0.52      0.22      0.00     95.14
01:16:45        all      3.07      0.00      0.34      0.12      0.00     96.47
01:17:45        all      3.09      0.00      0.33      0.09      0.00     96.49
01:18:45        all      2.94      0.00      0.50      0.10      0.00     96.46
01:19:45        all      3.02      0.00      0.25      0.28      0.00     96.45
01:20:45        all      6.42      0.00      2.37      0.05      0.00     91.16
01:21:45        all      8.70      0.00      0.59      0.10      0.00     90.61
01:22:45        all      5.10      0.00      0.40      0.12      0.00     94.38
01:23:45        all      4.72      0.00      0.20      0.02      0.00     95.06
01:24:45        all      3.92      0.00      0.27      0.08      0.00     95.72
