# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415322825;sdb;566.53;6846.00;230626.13;419.17;3.98;7.03;0.16;9.21
axle;60;1415322825;sda;530.05;116056.13;981.47;220.80;4.02;7.58;1.44;76.41
axle;60;1415322885;sdb;481.82;6743.20;193010.93;414.59;3.74;7.77;0.17;8.21
axle;60;1415322885;sda;296.98;66060.80;512.40;224.16;0.90;3.02;1.34;39.85
axle;60;1415322945;sdb;494.30;6469.07;201859.07;421.46;5.97;12.08;0.20;10.05
axle;60;1415322945;sda;215.67;49002.80;346.13;228.82;0.23;1.08;0.41;8.81
axle;60;1415323005;sdb;315.25;6332.00;131657.20;437.71;3.12;9.92;0.22;7.05
axle;60;1415323005;sda;213.90;50112.00;233.73;235.37;0.12;0.58;0.32;6.81
axle;60;1415323065;sdb;384.05;6837.20;122154.80;335.87;0.47;1.23;0.14;5.39
axle;60;1415323065;sda;212.07;49724.13;219.60;235.51;0.10;0.47;0.23;4.84
axle;60;1415323125;sdb;393.83;7221.20;144663.20;385.66;1.82;4.62;0.16;6.15
axle;60;1415323125;sda;147.25;32048.80;253.07;219.37;0.09;0.59;0.30;4.47
axle;60;1415323185;sdb;541.85;6293.87;264794.80;500.30;15.98;29.50;0.27;14.71
axle;60;1415323185;sda;2.67;0.00;38.40;14.40;0.00;0.47;0.13;0.03
axle;60;1415323245;sdb;289.73;6390.93;80765.07;300.81;0.26;0.92;0.15;4.33
axle;60;1415323245;sda;41.18;0.00;601.60;14.61;0.03;0.66;0.13;0.54
axle;60;1415323305;sdb;343.95;6886.00;123648.80;379.52;0.81;2.35;0.21;7.08
axle;60;1415323305;sda;2.63;6.67;49.47;21.32;0.01;4.13;2.89;0.76
axle;60;1415323365;sdb;374.38;6916.27;156482.53;436.45;0.56;1.51;0.20;7.39
axle;60;1415323365;sda;1.18;0.00;17.47;14.76;0.00;0.00;0.00;0.00
axle;60;1415323425;sdb;210.47;6973.07;51509.07;277.87;0.19;0.89;0.10;2.21
axle;60;1415323425;sda;0.93;0.00;14.80;15.86;0.00;0.00;0.00;0.00
axle;60;1415323485;sdb;309.50;7132.93;102498.27;354.22;1.51;4.90;0.18;5.50
axle;60;1415323485;sda;1.07;0.00;16.67;15.62;0.00;0.00;0.00;0.00
