# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415322825;504772;263614784;99.81;321224;240129260;91232992;33.33;152908764;100714104
axle;60;1415322885;653116;263466440;99.75;301924;239947868;91320288;33.37;153345884;100212196
axle;60;1415322945;462804;263656752;99.82;301004;241123440;90414092;33.04;155085732;98720608
axle;60;1415323005;468880;263650676;99.82;296704;241137228;90430808;33.04;155092632;98721488
axle;60;1415323065;566092;263553464;99.79;295764;241099392;90429376;33.04;155076888;98699032
axle;60;1415323125;495548;263624008;99.81;294900;240027624;91884440;33.57;155722096;98159564
axle;60;1415323185;573924;263545632;99.78;292756;239296184;92231456;33.70;156007288;97809044
axle;60;1415323245;930136;263189420;99.65;278368;229811544;101246876;36.99;160472276;93044684
axle;60;1415323305;1531168;262588388;99.42;276212;231884136;98567540;36.01;158424284;94513248
axle;60;1415323365;4808096;259311460;98.18;276528;232816632;94330396;34.47;153639384;96032164
axle;60;1415323425;3152512;260967044;98.81;276732;234478136;94347872;34.47;154664436;96663940
axle;60;1415323485;4489924;259629632;98.30;276996;235504968;91972008;33.60;152159796;97834364
