# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415324420;sdb;1641.55;6146.93;127767.87;81.58;3.29;2.01;0.05;7.54
axle;60;1415324420;sda;491.47;4.00;8012.80;16.31;5.15;10.48;0.22;10.75
axle;60;1415324480;sdb;249.65;6294.93;73097.60;318.02;0.94;3.79;0.15;3.70
axle;60;1415324480;sda;265.02;0.40;4967.20;18.74;5.19;19.56;0.23;6.03
axle;60;1415324540;sdb;1577.38;6361.47;70512.80;48.74;3.54;2.25;0.03;4.93
axle;60;1415324540;sda;35.18;0.27;821.87;23.37;0.33;9.28;1.15;4.06
axle;60;1415324600;sdb;1597.10;6166.93;75417.33;51.08;4.69;2.94;0.04;5.71
axle;60;1415324600;sda;2.37;0.00;48.67;20.56;0.03;14.17;14.17;3.35
axle;60;1415324660;sdb;1620.00;6135.60;90578.00;59.70;5.66;3.49;0.04;6.73
axle;60;1415324660;sda;2.93;0.13;359.60;122.64;0.00;1.39;0.30;0.09
axle;60;1415324720;sdb;126.57;6144.00;17384.40;185.90;0.14;1.14;0.05;0.66
axle;60;1415324720;sda;2.77;1.47;350.13;127.08;0.00;0.34;0.34;0.09
axle;60;1415324780;sdb;1521.70;6114.13;36857.73;28.24;3.40;2.23;0.02;3.33
axle;60;1415324780;sda;3.02;1.07;56.67;19.14;0.00;0.22;0.18;0.05
axle;60;1415324840;sdb;1476.22;6421.47;43689.60;33.95;2.59;1.76;0.02;3.11
axle;60;1415324840;sda;3.15;0.27;354.93;112.76;0.00;0.15;0.15;0.05
axle;60;1415324900;sdb;1613.87;6144.27;76631.73;51.29;4.20;2.61;0.03;5.54
axle;60;1415324900;sda;9.07;0.27;454.67;50.18;0.00;0.31;0.08;0.07
axle;60;1415324960;sdb;150.42;6404.27;22990.93;195.43;0.20;1.35;0.06;0.95
axle;60;1415324960;sda;77.05;0.13;1490.93;19.35;1.08;14.01;0.16;1.25
axle;60;1415325020;sdb;1454.48;6293.33;37659.73;30.22;3.81;2.62;0.02;3.47
axle;60;1415325020;sda;3.07;0.53;356.13;116.30;0.03;10.35;8.65;2.65
axle;60;1415325080;sdb;1487.30;6276.27;36872.53;29.01;3.61;2.43;0.03;4.07
axle;60;1415325080;sda;3.13;0.40;60.13;19.32;0.00;0.11;0.11;0.03
axle;60;1415325140;sdb;1614.57;6272.00;43448.67;30.80;3.64;2.26;0.03;4.15
axle;60;1415325140;sda;3.28;0.27;362.93;110.62;0.00;0.39;0.18;0.06
axle;60;1415325200;sdb;406.30;6199.47;15418.67;53.21;1.25;3.08;0.04;1.64
axle;60;1415325200;sda;2.95;0.67;358.40;121.72;0.00;0.36;0.20;0.06
axle;60;1415325260;sdb;1762.15;6153.60;108120.80;64.85;6.46;3.66;0.05;8.40
axle;60;1415325260;sda;4.52;0.27;395.07;87.53;0.00;0.62;0.15;0.07
axle;60;1415325320;sdb;1367.73;6153.87;90748.13;70.85;3.90;2.85;0.05;6.56
axle;60;1415325320;sda;156.85;3.07;3262.00;20.82;3.08;19.61;0.36;5.65
axle;60;1415325380;sdb;389.70;6295.07;52835.73;151.73;0.97;2.49;0.10;4.07
axle;60;1415325380;sda;8.52;0.00;165.73;19.46;0.00;0.35;0.09;0.08
axle;60;1415325440;sdb;203.02;6311.07;23349.47;146.10;0.30;1.46;0.08;1.57
axle;60;1415325440;sda;2.80;1.73;54.93;20.24;0.01;2.26;0.74;0.21
axle;60;1415325500;sdb;385.63;6210.27;75629.87;212.22;2.02;5.25;0.13;5.10
axle;60;1415325500;sda;45.50;0.13;1065.60;23.42;0.14;3.03;0.13;0.57
