# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415324420;575720;263543836;99.78;275920;235481644;95895932;35.04;160502440;93267960
axle;60;1415324480;2901152;261218404;98.90;274864;232047104;97044804;35.46;160664156;90791220
axle;60;1415324540;3097368;261022188;98.83;275096;231671296;97288816;35.55;160665392;90601492
axle;60;1415324600;3816608;260302948;98.55;275348;232028484;96180476;35.14;159958136;90594868
axle;60;1415324660;3984204;260135352;98.49;275576;231759592;96344264;35.20;160350596;90017688
axle;60;1415324720;5571148;258548408;97.89;275752;230707152;95772004;34.99;160113820;88695984
axle;60;1415324780;5437984;258681572;97.94;275964;230892536;95975412;35.07;160279024;88680652
axle;60;1415324840;4445720;259673836;98.32;276060;231150108;96516308;35.27;161153680;88738016
axle;60;1415324900;4366168;259753388;98.35;276220;232467708;95353660;34.84;160116772;89841292
axle;60;1415324960;3210024;260909532;98.78;276372;231333244;97610260;35.67;162565884;88591048
axle;60;1415325020;4798664;259320892;98.18;276588;231514268;95870236;35.03;160974384;88585012
axle;60;1415325080;3722408;260397148;98.59;276824;231708928;96758712;35.35;162043244;88612420
axle;60;1415325140;3615156;260504400;98.63;277048;231940420;96589536;35.29;162129736;88637004
axle;60;1415325200;5410088;258709468;97.95;277284;232158260;94642828;34.58;160272912;88671628
axle;60;1415325260;2188040;261931516;99.17;277492;235229308;94751956;34.62;160611880;91570584
axle;60;1415325320;1770700;262348856;99.33;275720;232549472;97948576;35.79;161785772;90849312
axle;60;1415325380;6195624;257923932;97.65;275972;231264452;94679808;34.59;158709364;89493324
axle;60;1415325440;5900532;258219024;97.77;276204;231745808;94486772;34.52;158657580;89832512
axle;60;1415325500;1961216;262158340;99.26;276448;232413464;97801860;35.74;162002072;90434208
