# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1415324420;0.40;945.20
axle;60;1415324480;0.00;576.43
axle;60;1415324540;0.00;58.05
axle;60;1415324600;0.00;0.00
axle;60;1415324660;0.00;0.00
axle;60;1415324720;0.13;0.00
axle;60;1415324780;0.00;0.00
axle;60;1415324840;0.00;0.00
axle;60;1415324900;0.00;11.83
axle;60;1415324960;0.00;142.62
axle;60;1415325020;0.00;0.00
axle;60;1415325080;0.00;0.00
axle;60;1415325140;0.00;0.00
axle;60;1415325200;0.00;0.00
axle;60;1415325260;0.00;4.48
axle;60;1415325320;0.13;402.10
axle;60;1415325380;0.00;13.87
axle;60;1415325440;0.00;0.00
axle;60;1415325500;0.00;127.05
