Linux 3.11.0-17-generic (axle) 	07/11/14 	_x86_64_	(64 CPU)

01:39:20        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:40:20        all     17.80      0.00      4.07      0.19      0.00     77.94
01:41:20        all     17.54      0.00      4.18      0.09      0.00     78.19
01:42:20        all     17.83      0.00      4.05      0.10      0.00     78.02
01:43:20        all     18.44      0.00      3.55      0.08      0.00     77.93
01:44:20        all     18.58      0.00      3.35      0.06      0.00     78.01
01:45:20        all     18.99      0.00      3.00      0.00      0.00     78.01
01:46:20        all     18.61      0.00      3.36      0.02      0.00     78.01
01:47:20        all     19.60      0.00      2.45      0.01      0.00     77.93
01:48:20        all     17.59      0.00      4.35      0.03      0.00     78.03
01:49:20        all     18.90      0.00      2.97      0.01      0.00     78.12
01:50:20        all     19.17      0.00      2.86      0.07      0.00     77.90
01:51:20        all     19.54      0.00      2.52      0.02      0.00     77.92
01:52:20        all     18.88      0.00      3.14      0.02      0.00     77.95
01:53:20        all     18.95      0.00      2.97      0.01      0.00     78.07
01:54:20        all     19.39      0.00      2.60      0.10      0.00     77.91
01:55:20        all     18.25      0.00      3.45      0.07      0.00     78.23
01:56:20        all     17.77      0.00      2.81      0.03      0.00     79.39
01:57:20        all     17.87      0.00      2.72      0.02      0.00     79.40
01:58:20        all     17.27      0.00      3.09      0.05      0.00     79.59
