# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1415324420;3075.40;67889.80;533449.85;0.10;68675.10;24571.63;5995.85;29252.03;95.70
axle;60;1415324480;3147.67;39032.93;318725.97;0.00;85902.52;7686.15;6114.50;13093.52;94.88
axle;60;1415324540;3180.87;35667.33;403939.15;0.00;68969.22;0.00;598.87;537.40;89.74
axle;60;1415324600;3083.47;37733.00;404375.02;0.00;63080.47;0.00;71.67;66.23;92.42
axle;60;1415324660;3067.87;45468.80;298951.90;0.00;68368.40;0.00;0.00;0.00;0.00
axle;60;1415324720;3072.73;8867.27;321701.42;0.02;69269.85;0.00;0.00;0.00;0.00
axle;60;1415324780;3055.47;18457.20;354012.53;0.00;70707.87;0.00;0.00;0.00;0.00
axle;60;1415324840;3213.00;22022.27;335790.93;0.00;47744.20;0.00;584.20;482.50;82.59
axle;60;1415324900;3072.27;38543.20;471647.22;0.00;81732.33;0.00;102.90;90.70;88.14
axle;60;1415324960;3202.20;12240.93;268246.57;0.00;51820.68;0.00;731.85;565.18;77.23
axle;60;1415325020;3146.93;19007.93;345327.97;0.00;68120.37;0.00;0.00;0.00;0.00
axle;60;1415325080;3138.33;18466.33;274229.78;0.00;39371.18;0.00;0.00;0.00;0.00
axle;60;1415325140;3136.13;21905.80;352570.92;0.00;49405.60;0.00;0.00;0.00;0.00
axle;60;1415325200;3100.07;7888.53;352691.00;0.00;47343.70;0.00;0.00;0.00;0.00
axle;60;1415325260;3076.93;54257.93;311087.45;0.00;33144.87;0.00;23.20;17.50;75.43
axle;60;1415325320;3076.33;47005.07;274612.75;0.05;62522.27;7910.03;3620.47;10921.70;94.72
axle;60;1415325380;3149.67;26500.73;309221.67;0.00;89939.97;0.00;430.27;386.85;89.91
axle;60;1415325440;3156.40;11702.20;394031.78;0.00;75081.48;0.00;0.00;0.00;0.00
axle;60;1415325500;3105.20;38347.73;355679.13;0.00;41367.73;0.00;607.85;457.25;75.22
