task_name,s_time,e_time,diff_time,seconds
LOAD,2014-11-07 01:12:48.000688,2014-11-07 01:25:31.604606,00:12:43.603918,763.603918
PERF,2014-11-07 01:25:31.631003,,,
PERF.POWER.RF1,2014-11-07 01:25:37.746191,2014-11-07 01:25:52.858742,00:00:15.112551,15.112551
PERF.POWER.Q14,2014-11-07 01:25:52.886763,2014-11-07 01:26:02.728661,00:00:09.841898,9.841898
PERF.POWER.Q2,2014-11-07 01:26:02.750283,2014-11-07 01:26:10.295818,00:00:07.545535,7.545535
PERF.POWER.Q9,2014-11-07 01:26:10.319404,2014-11-07 01:27:58.98151,00:01:48.662106,108.662106
PERF.POWER.Q20,2014-11-07 01:27:59.005481,2014-11-07 01:28:08.065612,00:00:09.060131,9.060131
PERF.POWER.Q6,2014-11-07 01:28:08.082928,2014-11-07 01:28:25.196785,00:00:17.113857,17.113857
PERF.POWER.Q17,2014-11-07 01:28:25.219063,2014-11-07 01:28:25.713801,00:00:00.494738,0.494738
PERF.POWER.Q18,2014-11-07 01:28:25.735433,2014-11-07 01:29:45.393052,00:01:19.657619,79.657619
PERF.POWER.Q8,2014-11-07 01:29:45.415617,2014-11-07 01:29:56.998789,00:00:11.583172,11.583172
PERF.POWER.Q21,2014-11-07 01:29:57.023453,2014-11-07 01:31:19.797691,00:01:22.774238,82.774238
PERF.POWER.Q13,2014-11-07 01:31:19.81956,2014-11-07 01:32:07.347411,00:00:47.527851,47.527851
PERF.POWER.Q3,2014-11-07 01:32:07.370564,2014-11-07 01:32:51.026027,00:00:43.655463,43.655463
PERF.POWER.Q22,2014-11-07 01:32:51.051158,2014-11-07 01:33:00.438338,00:00:09.38718,9.38718
PERF.POWER.Q16,2014-11-07 01:33:00.461878,2014-11-07 01:33:36.254311,00:00:35.792433,35.792433
PERF.POWER.Q4,2014-11-07 01:33:36.278389,2014-11-07 01:34:34.850516,00:00:58.572127,58.572127
PERF.POWER.Q11,2014-11-07 01:34:34.875835,2014-11-07 01:34:37.694989,00:00:02.819154,2.819154
PERF.POWER.Q15,2014-11-07 01:34:37.711135,2014-11-07 01:34:51.005838,00:00:13.294703,13.294703
PERF.POWER.Q1,2014-11-07 01:34:51.030574,2014-11-07 01:36:09.490737,00:01:18.460163,78.460163
PERF.POWER.Q10,2014-11-07 01:36:09.514331,2014-11-07 01:36:33.716862,00:00:24.202531,24.202531
PERF.POWER.Q19,2014-11-07 01:36:33.738618,2014-11-07 01:36:34.553187,00:00:00.814569,0.814569
PERF.POWER.Q5,2014-11-07 01:36:34.576272,2014-11-07 01:37:22.521204,00:00:47.944932,47.944932
PERF.POWER.Q7,2014-11-07 01:37:22.543317,2014-11-07 01:38:18.289751,00:00:55.746434,55.746434
PERF.POWER.Q12,2014-11-07 01:38:18.311222,2014-11-07 01:38:41.030766,00:00:22.719544,22.719544
PERF.POWER.RF2,2014-11-07 01:38:41.046132,2014-11-07 01:39:16.833728,00:00:35.787596,35.787596
PERF.POWER,2014-11-07 01:25:37.733479,2014-11-07 01:39:16.850226,00:13:39.116747,819.116747
PERF.THRUPUT.QS8.Q19,2014-11-07 01:39:21.576843,2014-11-07 01:39:23.398112,00:00:01.821269,1.821269
PERF.THRUPUT.RFST1.RF1,2014-11-07 01:39:20.963908,2014-11-07 01:39:40.86809,00:00:19.904182,19.904182
PERF.THRUPUT.QS2.Q6,2014-11-07 01:39:21.575486,2014-11-07 01:39:44.982695,00:00:23.407209,23.407209
PERF.THRUPUT.QS10.Q6,2014-11-07 01:39:21.556593,2014-11-07 01:39:44.983863,00:00:23.42727,23.42727
PERF.THRUPUT.QS2.Q17,2014-11-07 01:39:44.998134,2014-11-07 01:39:45.752876,00:00:00.754742,0.754742
PERF.THRUPUT.QS9.Q8,2014-11-07 01:39:21.558634,2014-11-07 01:39:47.860452,00:00:26.301818,26.301818
PERF.THRUPUT.QS3.Q8,2014-11-07 01:39:21.556001,2014-11-07 01:39:48.017005,00:00:26.461004,26.461004
PERF.THRUPUT.QS11.Q15,2014-11-07 01:39:21.559203,2014-11-07 01:39:52.956459,00:00:31.397256,31.397256
PERF.THRUPUT.QS6.Q10,2014-11-07 01:39:21.55721,2014-11-07 01:39:53.764963,00:00:32.207753,32.207753
PERF.THRUPUT.QS2.Q14,2014-11-07 01:39:45.768816,2014-11-07 01:39:55.944983,00:00:10.176167,10.176167
PERF.THRUPUT.QS11.Q14,2014-11-07 01:39:52.972032,2014-11-07 01:40:03.946615,00:00:10.974583,10.974583
PERF.THRUPUT.QS10.Q15,2014-11-07 01:39:44.998054,2014-11-07 01:40:08.334265,00:00:23.336211,23.336211
PERF.THRUPUT.QS4.Q5,2014-11-07 01:39:21.553122,2014-11-07 01:40:33.611761,00:01:12.058639,72.058639
PERF.THRUPUT.RFST1.RF2,2014-11-07 01:39:40.87952,2014-11-07 01:40:38.974724,00:00:58.095204,58.095204
PERF.THRUPUT.RFST1,2014-11-07 01:39:20.950097,2014-11-07 01:40:38.983584,00:01:18.033487,78.033487
PERF.THRUPUT.QS2.Q16,2014-11-07 01:39:55.956099,2014-11-07 01:40:41.940992,00:00:45.984893,45.984893
PERF.THRUPUT.QS2.Q19,2014-11-07 01:40:41.953896,2014-11-07 01:40:43.29309,00:00:01.339194,1.339194
PERF.THRUPUT.QS9.Q13,2014-11-07 01:39:47.871365,2014-11-07 01:40:54.712528,00:01:06.841163,66.841163
PERF.THRUPUT.RFST2.RF1,2014-11-07 01:40:39.274295,2014-11-07 01:40:57.271983,00:00:17.997688,17.997688
PERF.THRUPUT.QS4.Q2,2014-11-07 01:50:54.783254,2014-11-07 01:51:06.294672,00:00:11.511418,11.511418
PERF.THRUPUT.QS12.Q1,2014-11-07 01:39:21.551742,2014-11-07 01:41:01.419494,00:01:39.867752,99.867752
PERF.THRUPUT.QS8.Q1,2014-11-07 01:39:23.413507,2014-11-07 01:41:02.394052,00:01:38.980545,98.980545
PERF.THRUPUT.QS3.Q5,2014-11-07 01:39:48.031096,2014-11-07 01:41:04.281254,00:01:16.250158,76.250158
PERF.THRUPUT.QS6.Q3,2014-11-07 01:39:53.783266,2014-11-07 01:41:05.172503,00:01:11.389237,71.389237
PERF.THRUPUT.QS9.Q2,2014-11-07 01:40:54.756571,2014-11-07 01:41:12.0187,00:00:17.262129,17.262129
PERF.THRUPUT.QS7.Q18,2014-11-07 01:39:21.562433,2014-11-07 01:41:14.209822,00:01:52.647389,112.647389
